puuid,tier,tier_band,churned,total_games,games_trend,games_per_active_day,net_wins,days_since_last,win_rate,win_rate_trend,avg_kda,avg_duration_min,longest_loss_streak,unique_champions,top_champion_share,role_focus,primary_role,night_share,account_level,time_dead_share,team_death_leader_share,game_death_leader_share,avg_kill_participation,avg_team_damage_share,avg_multikills,avg_frustration_pings,first_blood_rate,surrender_loss_share,avg_loss_duration_min
0fMzTrab3LuLAzdM3vg-r9xdgGqZaHhVR6M2y3i13R76OfCN1HXVQIGxX4k36TCbtHASd1eSzoCUAQ,GRANDMASTER,high,0,206,46,4.2,44,1,0.6068,-0.0298,4.592,27.47,5,30,0.141,0.723,MIDDLE,0.058,328,0.0858,0.2379,0.0728,0.4861,0.2275,0.646,44.529,0.1311,0.1165,28.34
0lGrX4xw4wnldP0jOiozgIolHCA1kng41g39umtw1SfVNJcGBAvS9kZ-k4t75BJ_jLeZmwQRnTIiBg,PLATINUM,mid,0,48,22,2.67,12,22,0.625,-0.1978,3.159,30.29,3,7,0.562,0.667,MIDDLE,0.0,500,0.084,0.1875,0.0417,0.3988,0.1674,0.396,8.229,0.0208,0.0417,29.68
0zv_y_stD6e7-tgRL_BatWONBQb-YRIfDg_pANZT-r6m6YwNaEbRj46Ul0w4L2JFT331VyZ0ieDhgw,DIAMOND,high,0,201,201,5.91,45,1,0.6119,0.0,4.234,27.42,6,32,0.189,0.756,MIDDLE,0.03,211,0.0874,0.1791,0.0846,0.4616,0.2308,0.692,4.836,0.199,0.0896,28.41
16el89hlCq8v2aNY0upc-218b3jErjYKRdCsIm2qdwBeOTftD0d3vti1Ejv337thQbBukkqgQLOZwA,GOLD,mid,0,109,73,3.11,1,8,0.5046,0.0055,4.474,32.43,8,8,0.578,0.963,MIDDLE,0.018,380,0.0906,0.0642,0.0183,0.4566,0.242,0.541,13.798,0.0183,0.0917,32.63
1IctFf7RdiJIEUDYBefVT3ZzV4oC65vkSictWnLeyxEiCxkBa7ebI2eVbQ25Pj_PS32XL8oQQKwz9g,MASTER,high,0,203,-191,7.0,-5,7,0.4877,0.0127,3.406,27.52,7,49,0.128,0.463,MIDDLE,0.276,892,0.0961,0.2217,0.1133,0.4394,0.2133,0.833,3.606,0.0739,0.1527,27.69
1i0_a-Qx8r1YCNx_G0SHCDrp9Gvhlf6aFWx51phvUtjRtl2OhWMDNZJEZpja56-tuPQmVePFAmS9_A,MASTER,high,0,226,188,3.83,6,1,0.5133,-0.1292,2.833,27.34,9,46,0.128,0.916,TOP,0.146,323,0.1058,0.3142,0.1814,0.3325,0.2286,0.358,8.491,0.1018,0.1283,27.55
1n8q9g4omu_0_MWqx0_ClOc65DBoMk1gYRQ82278rYcfs4FOCHV1aLzGvIYcXArZPh4r-hi0yGw_Ew,CHALLENGER,high,0,228,200,5.18,24,1,0.5526,-0.02,3.656,26.18,6,25,0.092,0.873,BOTTOM,0.048,98,0.0973,0.3202,0.1184,0.5073,0.2791,1.083,11.645,0.1974,0.2018,25.45
1r0V6k093TQnvDxk9aFzEXFWHrGfutN-kWmoYpIFRZDwneeu7vGUkDzq485RUqfKsct4VMQ4WzGaAA,CHALLENGER,high,0,165,135,4.46,13,5,0.5394,0.0067,3.757,27.01,6,41,0.091,0.758,MIDDLE,0.024,949,0.0944,0.1636,0.0606,0.4426,0.2439,0.618,10.394,0.0727,0.1394,27.22
1rgXhHlwg4eaN6WCV0w9W3WtzUTg0yyKu5iH5IWKbCoqP8hJjFy4NS7SOlqS_xckwv9jyqSawOqo1w,BRONZE,low,0,153,3,2.78,-11,2,0.4641,0.021,3.481,31.88,9,56,0.137,0.418,TOP,0.0,496,0.094,0.1242,0.0523,0.4343,0.1813,0.542,14.268,0.1111,0.1438,30.51
25Xsj_r67DkiQTuA4A_GCCUz2WVU1RGKK2hseUW4ZJ4uHHb5A5LHwHp8IkMJa160bi6FDSZ_7MmDLQ,DIAMOND,high,0,152,52,3.1,6,1,0.5197,-0.0302,3.755,28.7,5,38,0.112,0.862,BOTTOM,0.033,672,0.0938,0.1908,0.1184,0.4679,0.2293,1.033,14.664,0.1447,0.1053,29.24
