puuid,tier,tier_band,churned,total_games,games_trend,games_per_active_day,net_wins,days_since_last,win_rate,win_rate_trend,avg_kda,avg_duration_min,longest_loss_streak,unique_champions,top_champion_share,role_focus,primary_role,night_share,account_level,time_dead_share,team_death_leader_share,game_death_leader_share,avg_kill_participation,avg_team_damage_share,avg_multikills,avg_frustration_pings,first_blood_rate,surrender_loss_share,avg_loss_duration_min
62RNzsyYyk_1I70yIsLzHFmJuD0FFtiEVgIdpKmCZGOq9reTcdqC1q67X7bFUW7lT5MF1cZCdB3exg,CHALLENGER,high,0,43,-43,2.05,19,77,0.7209,0.0,7.105,27.28,4,1,1.0,0.814,JUNGLE,0.023,132,0.075,0.1163,0.0233,0.5639,0.2377,1.512,16.279,0.1163,0.0233,26.97
62VpXYh0UYwdSm0LL1RQaaxH4LUCwA8Bz6OpOvppDERqwBXPIY-7iFdB90AIu6jT711sT070eGjebg,EMERALD,mid,0,136,6,2.83,2,3,0.5074,-0.0007,3.268,29.02,5,42,0.132,0.36,BOTTOM,0.14,644,0.1008,0.2132,0.1103,0.4886,0.1927,0.662,12.86,0.0882,0.0588,29.65
6517IdmOskjzddTtNAsuB9c6sML2eyd6HhtZJSPKxK02D9QxU3_YquTbb_93CE1Ho0Ofq9r7SX3quA,EMERALD,mid,0,100,-34,5.88,8,41,0.54,0.0534,3.198,28.05,5,38,0.2,0.79,TOP,0.0,113,0.1146,0.34,0.14,0.4405,0.2377,0.53,3.92,0.21,0.11,28.85
69ncNHr_dOMGUHukJxpQb7qdeMqb3DHH5yhyyXOsaA-Y32NuFpUKPqqaJWdeVLdPgqphoq3zpCvrPQ,MASTER,high,0,199,-137,4.63,7,7,0.5176,0.1893,4.557,26.86,13,21,0.251,0.819,BOTTOM,0.075,671,0.0837,0.196,0.0804,0.4781,0.2245,1.05,19.015,0.1457,0.1407,26.88
6XI1vtWL6VQkI0S-3ddEDB4Wmoszuf6cgmkPnpwxZLPy_bgB979McKsbuyyRhCMQvVl4wQRDopLbAQ,GRANDMASTER,high,0,214,202,4.65,8,2,0.5187,0.0192,2.716,27.5,8,6,0.972,0.921,TOP,0.0,962,0.1119,0.3458,0.1776,0.3855,0.1816,0.411,5.416,0.1028,0.0794,28.19
6bteW65W81UJT2n9sEjsoicIPxtETyToqKikatDtl1aJ3IjTEM0aA-8ctR-OpiIsf1X1SD8e8S5BUQ,GOLD,mid,0,31,1,3.1,1,13,0.5161,-0.4208,2.265,30.14,6,9,0.29,0.742,TOP,0.0,77,0.1284,0.2258,0.0968,0.4083,0.2301,0.581,5.742,0.1613,0.0,31.78
6gbugdl1sfmasoRSJaurO9o2eLqEn1D8qEby2dDKSVXFPoiMuuC7kcgCRpzFyGD14PYOTfwKsTutog,GRANDMASTER,high,0,200,-200,9.09,-8,82,0.48,0.0,4.996,26.53,8,18,0.87,0.9,JUNGLE,0.015,619,0.073,0.065,0.03,0.5076,0.1915,0.545,32.99,0.05,0.175,26.03
6hVbkhzQVGC8NfyJgcuCeB3gss7j2lwVyNyEg37JWuThkBieM7OwDGNkmupWAf_PZC4hIlWniChrBg,GRANDMASTER,high,0,233,211,4.48,55,13,0.618,0.1716,3.696,26.31,5,32,0.167,0.674,MIDDLE,0.034,1239,0.1078,0.4206,0.1803,0.4834,0.253,0.751,13.871,0.1803,0.1373,27.72
6lROCemOQ0Nnlw5l7P_SOcF1kiYM-mylSg4LyQf20NjmAKGZg85z1ZhgyBiWXINUtYBDCkwJaFnLgA,GRANDMASTER,high,0,218,52,4.54,0,0,0.5,-0.0486,3.25,26.67,6,31,0.133,0.881,TOP,0.188,1166,0.1019,0.3119,0.1514,0.3966,0.2247,0.431,11.294,0.0917,0.1743,26.09
6lotMTZCUminPvf9kirvffxWjQRxDuLaEcmUsAI8yKqBp5krlLQdO2l_dR1eZmmMSUEi5wCza3SnoA,GOLD,mid,0,46,-40,3.83,-6,6,0.4348,-0.1085,2.147,29.81,5,17,0.326,0.761,MIDDLE,0.0,57,0.1293,0.3261,0.1522,0.3988,0.2237,0.891,17.239,0.1087,0.1087,29.35
6ojPFYaniiA2fTa1EBmbZLsZncI9oF44LJS6dOWokYNFHfHGbXUrYKiUPOFLwHLhsnoQJUT6hiUHCQ,DIAMOND,high,0,213,213,8.88,15,0,0.5352,0.0,4.362,28.45,5,26,0.338,0.526,MIDDLE,0.019,80,0.0788,0.0986,0.0376,0.4373,0.2266,0.667,10.099,0.0563,0.0939,28.27
703hDs6SmE1Zn08pVK_5Sb2DqTDMKR-1creFcFP-nSxu5CMhn7XpXe2ohBMr3qDW03V9bSEfOBoB6w,CHALLENGER,high,0,218,198,4.54,22,1,0.5505,0.3673,2.834,26.64,7,1,1.0,0.766,MIDDLE,0.018,527,0.108,0.3028,0.133,0.432,0.2176,0.468,11.761,0.0275,0.1789,26.05
76wxqV16z1aL5WS08D1HDpJLKdGrq27O_5jD8hCIpOt6E78C1w2BWCEvQnel9HNuNt-Q9RsyBBmIww,CHALLENGER,high,0,273,185,4.79,7,0,0.5128,0.0966,3.622,27.01,8,21,0.3,0.711,BOTTOM,0.205,1178,0.0936,0.2381,0.1538,0.4838,0.2177,0.553,28.557,0.0806,0.1795,26.6
7BZXM8XwpyMPm6uV2WMmNzr38EB-Mqkf2Y-6b-d3pM9wvd2cHonOtCRs5w8-8fAGCM6siKgXDYqacw,GOLD,mid,0,34,34,2.0,16,1,0.7353,0.0,6.558,32.28,3,10,0.324,0.588,JUNGLE,0.0,503,0.0829,0.1471,0.1176,0.5051,0.2161,1.176,45.059,0.1471,0.0294,32.09
7DbwDEjCl5Tqh5_GmfHnptw2ddZWrACfKaN3eMs_MUOuW4WzOxT7dDIv0mWaYPYw8lGZUQldoRLcDA,DIAMOND,high,0,143,-129,6.81,-1,10,0.4965,0.0788,6.109,26.94,6,7,0.322,0.993,UTILITY,0.21,595,0.0645,0.1538,0.0769,0.6267,0.0786,0.021,4.294,0.035,0.1189,27.03
7K30pjBf5nzpQhlVEaMQbnyglTMsS7UBSSXuAPatp-Oq17PoXOz62INW0C7OP5cbvrpz3TlGC50XGw,CHALLENGER,high,0,223,145,4.05,19,2,0.5426,0.0361,4.867,27.77,7,21,0.206,0.843,JUNGLE,0.0,710,0.0885,0.1525,0.0762,0.5588,0.1779,0.448,25.525,0.0987,0.0583,28.62
7kvZw83ihq6_k5_MNaEWCXMzp-bRd0JvVd2sPjJuUo5kBaNcKSEof1cid6fS1BEmvp7c-VrqRpNECw,GOLD,mid,0,179,-63,3.2,1,2,0.5028,0.0724,5.001,31.42,5,11,0.291,0.994,UTILITY,0.089,865,0.071,0.1117,0.0279,0.5241,0.1612,0.106,12.268,0.0447,0.1117,32.0
7mHqYrKvmh0xUu583fp930d5Y-5M_dMKbZDmC4-YKUe_odMM4LDXKBAPur6Hhg-1TBEMSCXh5LA5gQ,PLATINUM,mid,0,160,-48,4.85,6,31,0.5188,-0.0838,2.258,29.81,7,30,0.15,0.388,UTILITY,0.194,610,0.1216,0.3688,0.2062,0.4112,0.2027,0.331,7.212,0.1,0.1188,29.4
7rs3_VrV4WuIOx5KbWEldS-G8k5h9mt36wLbIE1-ID2lSjoD17-BeAW2tPhPwHU5Pawj3DfrtOaNDQ,DIAMOND,high,0,168,34,8.4,2,10,0.506,-0.1515,2.112,28.64,6,22,0.756,0.899,MIDDLE,0.089,210,0.1491,0.494,0.3274,0.4232,0.2659,0.798,9.119,0.131,0.1071,29.27
7sYWua7T8stz6fRxj6hcdE6gB4Nf-iND54vgzcXFoWGFFEMgU60F1OjmmccTG12mQVrwvpG1oq5Q0g,MASTER,high,0,131,-13,4.09,1,2,0.5038,0.0702,4.524,28.81,6,30,0.115,0.916,JUNGLE,0.099,745,0.0924,0.1603,0.0992,0.5353,0.2049,0.748,9.405,0.0534,0.0687,28.69
81FXBcIVKSPpc5HyqN34a6sl6L2eSdX3r2C58P-5K57U6SwsE8Q9kIb_LWUjg53nu85WfSO8wv6otA,PLATINUM,mid,0,146,-86,3.17,30,11,0.6027,-0.0034,2.792,30.53,4,24,0.397,0.63,MIDDLE,0.007,277,0.1038,0.2466,0.1233,0.3858,0.1845,0.37,25.658,0.0479,0.1027,29.49
82n5ZbGuQ02wtSL0Hs0ESktqc09XgH3ML7aIV-1-D0EO0yAj2mnRYQolNW0f89ZLweu6q80LnNvkLg,GRANDMASTER,high,0,197,173,4.38,17,8,0.5431,0.1347,5.117,26.95,5,18,0.406,0.929,JUNGLE,0.147,318,0.1078,0.3147,0.1624,0.5838,0.2388,1.624,45.934,0.1015,0.0812,27.38
85v5SMKTCx_ZjaWlzXmpX-U14EIcZPkgay-CYjHuNh5LRB1MWgTHsW52CplkyDsZJi_6U6cis9AtBg,PLATINUM,mid,0,57,51,3.0,11,1,0.5965,-0.0741,2.923,31.78,5,30,0.123,0.351,BOTTOM,0.07,406,0.1309,0.5263,0.2456,0.463,0.2273,0.807,18.07,0.1404,0.0526,33.7
87LjWdhNiL_vA15tVEPzp1QWP87SPte9hAYuNrPKEyBxAuriC14EPCiVgwlzeLQblKaYDbZXFrTyFQ,DIAMOND,high,0,66,60,4.12,-18,0,0.3636,0.381,3.625,27.95,8,28,0.136,0.576,JUNGLE,0.136,634,0.1031,0.1515,0.1212,0.5177,0.2052,0.47,7.636,0.0909,0.0909,27.74
88XFc6vNvw4xnwMoVaI1ib1IFXK0OLTH-ZerqBH3mA4IUZ7SVglsnk_5V7YUakggR7lJF35tO3PkdA,DIAMOND,high,0,162,42,2.95,10,1,0.5309,0.049,5.999,28.93,5,11,0.426,0.932,UTILITY,0.346,984,0.0595,0.0494,0.037,0.5868,0.0796,0.049,27.37,0.037,0.0988,29.41
89eTAgJSpqTOLiROlXadoGYbujbquPyrgQ641V2uEfzWSc1uenHrvyzsVz9zHUtvPmHJzvRl_HfcEA,EMERALD,mid,1,71,67,5.46,-5,23,0.4648,-0.0362,3.736,28.3,11,21,0.183,0.93,BOTTOM,0.169,349,0.0818,0.0986,0.0845,0.5046,0.2382,0.915,0.845,0.0704,0.0986,28.05
8C6ePdztvHYUu-VlmnOrUC4hafrHX1JzmRzW8mr3uZZtJRcsvxVcO2DJqUxTuEwCG-SdN524PaZ-Lg,CHALLENGER,high,0,222,72,7.66,-8,0,0.482,0.1037,3.147,27.11,10,43,0.153,0.851,BOTTOM,0.171,1040,0.1029,0.3288,0.1757,0.4731,0.2474,1.162,11.419,0.1622,0.1757,26.64
8EWbuiOT10O9i25XHPJ1H9OdoP-zPudYbM7CDvS_87WLrbv3uSRzLO8KdVZzWuosv8cDGxN9Pyv0aQ,EMERALD,mid,1,43,27,6.14,11,57,0.6279,0.3107,4.185,28.56,2,1,1.0,1.0,TOP,0.023,689,0.0999,0.093,0.0233,0.4594,0.2955,1.209,3.023,0.3721,0.0465,31.04
8H7QD6zgt2VJNjcdFjXV-0THwv6oZtBe39XOB0vobexqKLNjG4DpbCMVyB-7oJe21FTNwwKKv5lJ8w,DIAMOND,high,0,64,64,3.05,14,2,0.6094,0.0,6.321,30.72,3,9,0.5,0.969,JUNGLE,0.0,629,0.0677,0.0312,0.0156,0.546,0.1996,0.812,73.859,0.0312,0.0312,32.14
8LYDTknNdESowSxy-Cn0Yi0qDsYGbxVO8tbtdaq3CVRubKjVJ1SUtn3HBOV3ZTFrKEARkK4aCmWf6Q,BRONZE,low,0,67,-39,2.68,1,49,0.5075,0.0809,2.235,29.84,6,18,0.209,0.701,BOTTOM,0.0,271,0.1194,0.3731,0.209,0.4429,0.2049,0.836,13.985,0.0896,0.1493,27.97
8Q8e2iJNN5TBR49KKdkKEqaA4Wun7yaVfL6PI_8zMQ0xLuaQrGpcQHLNy5wXhTb550CRJXLLXKagwQ,MASTER,high,0,164,48,5.12,-6,7,0.4817,-0.0817,3.174,27.58,6,41,0.165,0.512,UTILITY,0.006,78,0.1085,0.372,0.2012,0.5446,0.1915,0.366,7.451,0.1098,0.1463,27.48
8aolqN11pW-CpW7o2M-ic02pE2Cza9KeiLRYHt_1EtvuDqGT2i55zmniqWSKXrDrNN4W-BF9N0Z2ow,GOLD,mid,0,45,-13,1.73,1,1,0.5111,-0.0172,2.385,31.66,8,4,0.778,1.0,UTILITY,0.0,236,0.1257,0.4222,0.2444,0.4909,0.1778,0.111,13.267,0.0444,0.0444,31.74
8dgypWuKrO4sCnOy2_C2dlejsM9PsXSMroZX2saf3oxt8HNN0QcXBEQ-3NWUy93FlLm3PStwKOsuHg,SILVER,low,0,200,200,6.45,-4,1,0.49,0.0,2.615,32.92,5,25,0.16,0.81,UTILITY,0.01,918,0.1339,0.33,0.155,0.4959,0.2016,0.59,2.455,0.12,0.05,34.59
8ft1nx9lKjvaWmY0Wcuf9HYqJsVh2D4kOiMHKTIwD7rTzvVLzgQ6i3_Dw4_dgl6KYuiu8PoPVOobFg,EMERALD,mid,1,160,112,5.93,10,3,0.5312,0.2819,3.069,29.39,8,35,0.162,0.525,MIDDLE,0.375,233,0.1131,0.2688,0.1438,0.4109,0.2239,0.894,13.612,0.1625,0.0938,29.1
8jZai8gp1zWQ_xBFo7ZkT8Hx1csNrhAaW4YW3EkEfh7OgLwGVsToaPwr5M8Fe9xnMFJv0kLx0oV_dg,SILVER,low,0,198,88,3.6,-8,1,0.4798,0.0098,2.861,32.64,6,79,0.056,0.379,UTILITY,0.101,662,0.1186,0.2121,0.1061,0.4362,0.1991,0.48,2.212,0.0859,0.0657,32.56
8l03CvCKJ68iEXDgNRNgBf5Eq9RrSXw9cYyMbCjR15lDe4uHL78xVGgWNQ1wh_bTOhYv4HXCv_CJWA,GRANDMASTER,high,0,205,205,5.26,-3,2,0.4927,0.0,3.859,27.45,5,12,0.776,0.79,MIDDLE,0.293,820,0.0927,0.161,0.0634,0.5056,0.2522,1.273,24.171,0.1951,0.1268,28.36
8ndWN8ESNSJ22Embnbw7uH6qMu-NVm6fBVF4puMqtle4pwKp-ApUz7z5g4TzB5CFjtQIgm8Nrk0Wzg,PLATINUM,mid,0,119,-77,3.97,-13,11,0.4454,-0.0782,3.149,29.73,5,35,0.202,0.681,MIDDLE,0.185,452,0.1048,0.2101,0.084,0.414,0.2234,0.622,14.79,0.1008,0.1176,30.37
8pWbXQLBp7Ac1xy__6e4EI06gJxR4VZyiIXfx65HONsQwj6zpP5t3QfkeLJSGN7ikuy8DWAxWcbXkQ,MASTER,high,0,141,109,3.36,33,2,0.617,-0.009,4.639,27.32,3,4,0.972,0.468,BOTTOM,0.0,79,0.0733,0.1702,0.1135,0.4432,0.2088,0.858,11.468,0.1489,0.1064,28.31
8pplXzpoJkr8yDd8I4cOJfkfnkA8v8JauXGeLEg8LDrAglQ-x1bd8HLgXfgg9SaXiycitpEwx1nQDw,DIAMOND,high,0,35,7,3.5,-3,14,0.4571,0.1667,5.57,29.56,6,22,0.114,0.829,JUNGLE,0.343,235,0.0856,0.2,0.1429,0.5713,0.2095,0.686,56.029,0.1714,0.2,28.54
8sm-DGyfQEGvUkZl_ccJso26C1RJ0ZErb3bg1PeAPgdCSzhOMlmVzj095YBz3IBeitJi2NKhS6GXCw,PLATINUM,mid,0,60,42,3.75,0,1,0.5,0.1961,4.046,29.29,4,21,0.183,0.65,BOTTOM,0.317,56,0.0949,0.15,0.0833,0.4492,0.2091,0.95,24.117,0.0667,0.1,28.33
9BFtbWHYOtLqxACw9sXR7qpUBhoR3JhoLCdbsX_G8TgSCLJunmJCCG2ppBgEnjgQ590gLrJYnoaO4g,GRANDMASTER,high,0,172,124,5.55,62,1,0.6802,0.1126,4.754,26.06,3,6,0.86,0.721,MIDDLE,0.0,173,0.091,0.2267,0.0756,0.5445,0.2789,2.5,20.227,0.1686,0.0872,26.71
9RqZYyt-brV_GuJA1XKto1_MIbQK-pg1La33ofchiNwDhKIzJem9xD04eZeHViu-iSr3CwrPrYL-gw,MASTER,high,0,33,27,2.36,9,30,0.6364,0.3333,4.084,29.35,4,17,0.303,0.515,JUNGLE,0.242,62,0.0964,0.1212,0.0303,0.4602,0.239,1.212,14.818,0.0606,0.0606,29.03
9TTcv1pvPhVbjS2muVPsAPZ1Wr9rHZAanxHuwVHQmIP4J8n6kw4RWTzn4g7gaKO3Ah_NdHP74Ynbqw,DIAMOND,high,0,66,12,6.0,6,38,0.5455,-0.1425,3.804,27.83,4,29,0.091,0.924,UTILITY,0.045,132,0.0877,0.3485,0.1667,0.558,0.1191,0.197,19.303,0.0909,0.1515,27.36
9Tf2MF3E-ukLsOh8ZCwYD9S7M_4b5gHGrAG-j9c9gbVqQSUJPCEb0X6vWvYs6-_suNX2KhdHiwRI6A,MASTER,high,0,139,137,9.27,43,1,0.6547,0.6594,4.784,27.62,5,10,0.597,1.0,TOP,0.007,106,0.0755,0.0935,0.0288,0.3915,0.2301,0.475,16.892,0.1079,0.0576,28.93
9ejU0O-xmGS46q5o8hSy9akV701wxGNWX4UahrRa2KjoIg74NtQidC4LKHwsKvIkrrt5-9C9xlrVPw,GOLD,mid,0,38,-4,1.9,6,3,0.5789,0.1232,2.155,31.69,3,25,0.105,0.632,JUNGLE,0.079,517,0.1526,0.5263,0.3158,0.4367,0.1956,0.816,2.868,0.0263,0.0,30.86
9gdkarRznTwSdPZjNvEIfDc4A8b324k-OlQWaK8JujHAVS67y03e84778L60ECAmrvBTHoqC-dV9-w,BRONZE,low,0,32,-24,1.78,4,26,0.5625,-0.0714,4.054,31.42,4,13,0.344,0.594,JUNGLE,0.5,974,0.0832,0.0938,0.0625,0.4029,0.1602,0.344,12.969,0.1562,0.125,31.34
9vRK1DZ2ZT2DzJLcXAz1Edq6yXbDaMW6xuaqD8fGfXiUfMdOlqqZwUbybG1B33TfUbWFuHXGFlzNDQ,PLATINUM,mid,0,199,199,11.71,7,2,0.5176,0.0,5.16,30.54,7,26,0.226,0.879,UTILITY,0.06,84,0.071,0.1407,0.0452,0.5361,0.1474,0.241,10.497,0.0955,0.1005,30.3
A6N0F4cih-H23MepUnCAxyAfRV5uD3l9I6eWVql2cS5H9wIvcD5pEKiUB_5KjXlo3izJBhjz4AzcEg,PLATINUM,mid,0,39,37,1.7,3,1,0.5385,0.5526,3.408,29.13,3,8,0.436,0.641,UTILITY,0.026,786,0.1016,0.2564,0.0769,0.579,0.1284,0.179,6.667,0.0769,0.1282,28.16
ADYBIMiz9el7jiMYfDW0_CBh_BntcY2T-qvLI2ZvC1k-xfdLQ9mqtmQFnbNHfrGRWUrqKy0Evk-BjQ,GRANDMASTER,high,0,199,83,4.15,7,6,0.5176,-0.0725,4.578,27.76,7,49,0.116,0.804,BOTTOM,0.226,705,0.0862,0.1709,0.0704,0.5032,0.2354,0.91,39.121,0.1106,0.0754,28.87
AK6Is-UDDg8xhigW0ZwOLYGUPAe8DN_sSlUXkHctnQfOn2uF537eQaiqqGDKwo-4-S8YpKh2WJ7UkA,PLATINUM,mid,0,132,132,3.3,2,1,0.5076,0.0,3.633,28.49,6,6,0.515,0.947,MIDDLE,0.0,422,0.1072,0.2652,0.1515,0.4421,0.233,0.591,44.394,0.0833,0.1894,28.32
AWsvhLntVWMSBwAPMiZGcP_MPmndRGIqNOtcwpFwhlxF0NvyyldnWMQvd2NEJrBXHyyCJk2_oXiKFg,SILVER,low,0,31,-7,1.63,-7,2,0.3871,-0.0877,3.319,28.02,6,23,0.129,0.484,TOP,0.0,381,0.102,0.2903,0.2581,0.4252,0.2143,0.548,7.0,0.129,0.129,27.45
AhOqf4Hk1LBOo6KmzxXv2PdFxj4lzingl21TBrSI_k3QvTlcaRqVNXSrU0monEZj6eejJWWZm57Oag,MASTER,high,0,119,47,4.25,13,4,0.5546,0.158,2.711,28.96,13,44,0.218,0.37,MIDDLE,0.193,348,0.1271,0.5042,0.2773,0.5053,0.2025,0.395,10.244,0.0924,0.1345,28.81
AlyJRqvzMLNS7gu6TfaIXhUPFCs4IFfAdmcv1Q36tGJ9F5QFDvFaPROEWiKfKIVI-nzLm2kqi0N6sw,PLATINUM,mid,0,60,-60,2.07,4,90,0.5333,0.0,2.506,28.46,5,6,0.8,1.0,TOP,0.033,573,0.1173,0.3333,0.1167,0.3592,0.2323,1.017,1.117,0.2833,0.05,29.28
Aw6m2IuPuKwaOhT3BtbMbsI6XrbTetJBq3rp337dybKZnqgWPMsoF0tvnpQzeSFfgNe3jhrWDuraRA,CHALLENGER,high,0,208,6,3.59,38,1,0.5913,0.091,5.124,26.23,5,25,0.212,0.812,BOTTOM,0.053,380,0.0742,0.1875,0.0673,0.5127,0.2517,1.12,17.861,0.1394,0.1683,26.61
AyxsNOfQbobZObf8bnDwXeQChhCs2GHO_KFfHJal2_HnnNurw2sMjTGMCW8_LzIZ512CX-hkydFooA,DIAMOND,high,0,195,141,5.74,-1,22,0.4974,-0.0245,3.236,28.76,7,33,0.195,0.867,MIDDLE,0.215,567,0.0995,0.2205,0.0974,0.4177,0.2252,0.487,14.179,0.0718,0.1026,28.64
BBNVyN00e4lN9U8IPKWiVbp8PWoBJIHky9faEerjzFGvfYP1szD55mVk-irSN3o-9cLBqGIZQqrDdQ,EMERALD,mid,0,125,119,3.91,-3,3,0.488,0.5,1.816,29.18,4,30,0.264,1.0,TOP,0.008,79,0.1453,0.464,0.264,0.349,0.233,0.488,2.336,0.12,0.08,29.12
BBOf9a_WgGc1WP-5EfmOPoZi6UCAhYfuNqnf3eR0tClWrdOyquFzUcjm0Sd092nrghSs9ys3mxd-yQ,MASTER,high,0,236,204,3.75,-10,1,0.4788,-0.0227,2.934,27.68,8,29,0.199,0.924,JUNGLE,0.013,1730,0.1306,0.4492,0.2627,0.5099,0.2233,0.992,13.174,0.0975,0.1568,27.96
BKEvaAObfDJ_O7_GeQs2BNWEKQKjEZpQQAobuCzKmeVvFBX9BHks0OkIKgUcmL-SQ2svLbkTi5Kjlg,GRANDMASTER,high,0,128,-40,2.25,8,13,0.5312,0.0563,4.257,27.28,4,24,0.242,0.93,BOTTOM,0.016,402,0.0737,0.2109,0.1016,0.4987,0.2542,0.961,18.453,0.1172,0.125,27.3
BMNR0WRVUMDrwCGI4APQpuxkAiNjGQMrXjdMw_YZjkm9E75qXAeXAXGERxEyMR39gBSSaYcUehI_gQ,IRON,low,0,55,-15,3.93,-13,1,0.3818,-0.2857,3.131,29.89,9,25,0.164,0.6,UTILITY,0.0,91,0.0847,0.1818,0.0909,0.4535,0.1413,0.218,3.945,0.0545,0.2,28.8
BPiwl2hZr9yfFNN9AegYQ4x8L7OewOHDLpkc0lk5Pwx3U8l-Dh24IwOL4gS9i44MEs6gdLAtCPdbxQ,MASTER,high,0,62,-46,7.75,4,6,0.5323,-0.1806,4.036,28.2,6,11,0.419,0.984,JUNGLE,0.048,766,0.1234,0.2742,0.2258,0.541,0.2408,1.065,39.129,0.0645,0.0484,29.36
BYrQ7LpEuZM9HT1Co6AlmC2DREhheetKvXhpIxVivvvBQbZpuw5E5yLjKqk5ERoue_WwzOnS-EQq4w,MASTER,high,0,217,205,4.43,23,1,0.553,0.0545,3.233,26.32,6,8,0.959,0.733,JUNGLE,0.147,237,0.1197,0.3779,0.1982,0.507,0.2575,1.378,18.018,0.1429,0.1382,26.36
Ba25mWCK6f9B6Z8XhgmI9xkzL0CQZmLxIoTwJ7W9UAHLckqCkY8688Q1X_1idATHHVWfgWmW2JB8kw,GRANDMASTER,high,0,220,178,3.49,10,2,0.5227,0.2094,3.539,26.51,8,41,0.155,0.786,BOTTOM,0.2,873,0.0907,0.2273,0.1091,0.4878,0.2637,0.864,7.623,0.1045,0.1909,26.78
BaF3uTqgbklRl-RhKtcp8RGvfcZv-1DjZyPfx9Svfyy0qgSfeDyx80xaTtiI8nUPMFJx1mMk6jDGSg,EMERALD,mid,1,200,22,6.9,-22,18,0.445,0.1337,4.354,27.74,10,16,0.61,1.0,UTILITY,0.015,270,0.072,0.145,0.08,0.5152,0.0833,0.02,3.075,0.02,0.14,27.12
Bl-c02rh5leSxjwbR9Mqs64XAsf5VMV8C3w72PLx6ml5a-c7b5WVIloNkTXqa_cuNHIMZDWtLz6M4A,MASTER,high,0,219,153,4.21,5,1,0.5114,0.1026,3.537,27.44,6,24,0.749,0.667,MIDDLE,0.041,1076,0.1034,0.2968,0.1644,0.4963,0.2139,1.0,6.89,0.1187,0.1142,27.33
BlhkxKXXo08c0hDVveCSSaz4xpTgomoQIL5ooogOPZ8be0ZWQKAlmNa4wrzUof7Z7ubL1UefLVgg5g,MASTER,high,0,173,89,3.26,17,0,0.5491,0.0963,3.637,28.37,4,26,0.439,0.514,UTILITY,0.156,373,0.0987,0.3295,0.1387,0.5711,0.1596,0.855,8.803,0.0983,0.104,27.07
BmDFh2Sx2jo2Swa2H5CoBzxJKDJwRwMVhVRS6_0yln5_UdQYgz48WNq8oej6H-3Bb1WT0_7AYc0QqQ,GRANDMASTER,high,0,36,-36,2.12,4,75,0.5556,0.0,5.486,25.04,4,9,0.611,0.944,JUNGLE,0.0,831,0.0826,0.2222,0.1111,0.6093,0.2263,0.806,36.528,0.1667,0.1667,26.65
BpcarGyjhwU2sqMjLdwuSEYDhF2f60YxXjXkiwG9JDSbGMqHracrJCpMdxsy0wBY9nwGHesX4DRKbA,IRON,low,1,107,-3,2.49,-25,26,0.3832,-0.072,1.733,30.85,5,3,0.907,1.0,BOTTOM,0.065,81,0.1357,0.5794,0.3364,0.4019,0.1882,0.607,30.495,0.1028,0.1589,29.49
BsFvI7WwpxSt0Q9alKmVQApgTzf--Uy0mwUI6k3PB4gH_xCMYJIEliP7YT7kmpdVoGasE482CVg6OA,DIAMOND,high,0,195,-29,3.98,-7,5,0.4821,-0.0422,3.837,28.33,6,23,0.231,0.549,UTILITY,0.0,404,0.0876,0.1846,0.0923,0.5434,0.1638,0.59,2.103,0.0974,0.159,28.24
BxbUMHO9j90uTamph1bl5LKvkoheW87Uiefr1vSAOSVcE3Qp7_oWlqE09yvHEDRICFXU7QECQLl23w,MASTER,high,0,53,51,5.3,51,4,0.9811,-0.0192,11.056,22.36,1,4,0.943,0.755,MIDDLE,0.358,34,0.0469,0.0377,0.0189,0.6431,0.4396,2.623,15.415,0.4717,0.0,28.48
BzhGTuPjvX5tzCB2jjAzlA31lYghdHoeJ-KHEL7nkz-4uWphpgVWGVfjm_ZpBqjs42IqJrZtrwbwHw,EMERALD,mid,0,193,3,4.2,13,11,0.5337,-0.0062,4.334,30.68,12,8,0.637,0.995,UTILITY,0.016,243,0.0871,0.2073,0.0829,0.5797,0.1321,0.088,11.373,0.0881,0.057,30.96
CMpEpH5drPlFm3WnF4cH1_3eMhIv4Xdl0amUAn3Ya1nUhOu8V0n2LpXyTWgEKkXhfrbIzwFDn7qkww,GOLD,mid,0,196,-54,6.76,-6,10,0.4847,-0.0091,2.113,30.22,8,51,0.107,0.337,BOTTOM,0.082,515,0.1482,0.6071,0.4031,0.4748,0.2419,0.735,1.179,0.1531,0.0714,30.71
CZ1MIptsghbZ1_8p-tV1PQ8E5R9KVJqMWH2KYgLEphW5jfv39N4WXNFWUwkyzPC9Ca-0ns2msx1YDg,EMERALD,mid,0,121,21,3.67,17,13,0.5702,-0.0848,4.284,30.4,4,27,0.174,0.793,UTILITY,0.0,261,0.088,0.1736,0.0826,0.5028,0.1519,0.091,6.496,0.0331,0.0826,30.01
Cf7x72e1RT5Bj8m2tjpcsNW-1BYSMegouchDcDEnbeR8rmZYTcO3YqXfrT_W_nZKXMfKt_j2J79SkQ,GOLD,mid,0,111,7,3.0,3,2,0.5135,-0.0831,5.0,31.92,6,17,0.396,0.793,JUNGLE,0.0,242,0.0974,0.1712,0.0901,0.4808,0.2007,0.477,30.559,0.1081,0.0631,32.53
